id,dateStart,dateEnd,pair,uPnL,rPnL,side,entryPrice,initalSL,maxTP,idealTP,amount,amountClosed,status,day,tags,avgClosePrice,avgRiskReward,maxRiskReward,exchangeRate,initialBalance,currentRealizedBalance
243758247,2025/01/06 07:37:55,2025/01/06 13:40:50,OANDA:XAUUSD,0,3.24,buy,2626.317,2621.568,2626.471,2649.52,21.06,21.06,closed,1,,2626.47085,0.03,0.03,1,10000,10003.24
243758465,2025/01/06 14:17:10,2025/01/08 14:36:50,OANDA:XAUUSD,0,744.24,buy,2615.637,2608.903,2665.754,2697.95,14.85,14.85,closed,1,,2665.75417,7.44,7.44,1,10000,10747.48
243767230,2025/01/10 13:33:05,2025/01/10 14:00:30,OANDA:XAUUSD,0,505,buy,2665.177,2661.43,2684.098,2697.95,26.69,26.69,closed,5,,2684.09794,5.05,5.05,1,10000,11252.48
243770168,2025/01/13 12:18:55,2025/01/13 12:32:05,OANDA:XAUUSD,0,-88.44,buy,2670.995,2665.415,,2672.935,15.85,15.85,closed,1,,2665.41519,-1,0,1,10000,11164.04
243771563,2025/01/14 14:12:25,2025/01/14 21:20:40,OANDA:XAUUSD,0,649.38,buy,2660.117,2657.468,2677.319,2746.055,37.75,37.75,closed,2,,2677.31912,6.49,6.49,1,10000,11813.42
243787465,2025/01/27 02:22:00,2025/01/27 07:28:15,OANDA:XAUUSD,0,-100,buy,2754.81,2750.126,,2762.8,21.35,21.35,closed,1,,2750.12616,-1,0,1,10000,11713.42
244023425,2025/02/03 13:02:15,2025/02/03 14:43:45,OANDA:XAUUSD,0,-100.02,sell,2811.569,2818.744,,2806.78,13.94,13.94,closed,1,,2818.74404,-1,0,1,10000,9899.98
244025290,2025/02/06 14:58:15,2025/02/06 15:00:35,OANDA:XAUUSD,0,-99.98,buy,2845.357,2839.212,,2844.055,16.27,16.27,closed,4,,2839.21195,-1,0,1,10000,9800
244029009,2025/02/12 10:43:35,2025/02/12 13:19:35,OANDA:XAUUSD,0,-100.02,buy,2880.082,2874.396,,2886.095,17.59,17.59,closed,3,,2874.39581,-1,0,1,10000,9699.98
244030256,2025/02/14 15:28:25,2025/02/14 16:30:10,OANDA:XAUUSD,0,-100.03,buy,2898.502,2892.203,,2907.095,15.88,15.88,closed,5,,2892.20288,-1,0,1,10000,9599.95
