median_error,mean_error,p95_error,scale,offset_minutes,n
0.875,2.2145818181817876,7.192999999999879,1.0,-180,55
4.088000000000193,5.994109090909065,18.803599999999822,1.0,-210,55
4.809999999999945,6.892653846153822,19.48589999999973,1.0,-240,52
5.39449999999988,8.373592592592574,25.837499999999793,1.0,-270,54
6.7029999999999745,8.8949454545454,23.168499999999675,1.0,-300,55
7.938999999999851,10.230557692307684,28.166849999999783,1.0,-150,52
8.138000000000147,11.183596153846164,31.201300000000064,1.0,-120,52
8.875999999999749,10.392872727272698,30.992599999999488,1.0,-330,55
9.135000000000218,13.536745098039212,30.864000000000033,1.0,-570,51
9.300000000000182,12.51961818181821,32.523099999999815,1.0,-360,55
10.4699999999998,13.915156862745093,34.29300000000012,1.0,-600,51
10.614999999999782,13.351054545454513,30.394000000000048,1.0,-480,55
10.699999999999818,12.60207272727268,27.04199999999999,1.0,-390,55
10.774499999999989,13.878711538461507,33.64284999999994,1.0,-540,52
10.89799999999991,13.586759259259225,35.391999999999946,1.0,-510,54
11.329500000000053,14.950865384615387,35.4593000000001,1.0,-90,52
11.804999999999836,14.90975510204077,38.047999999999945,1.0,-630,49
11.980000000000018,14.427618181818177,34.05210000000015,1.0,-450,55
12.02000000000021,16.767942307692262,37.2506499999998,1.0,-60,52
12.992999999999938,16.029372549019598,40.18299999999999,1.0,-660,51
13.250500000000102,17.383939999999992,39.15729999999979,1.0,0,50
13.76299999999992,13.281181818181787,27.18910000000013,1.0,-420,55
13.889000000000124,15.859708333333364,42.52145000000011,1.0,-720,48
14.130999999999858,18.827510638297902,50.22979999999968,1.0,270,47
14.18899999999985,15.565187499999999,39.79154999999996,1.0,-690,48
14.252999999999929,17.78121153846154,42.70475000000013,1.0,-30,52
14.2650000000001,18.05095833333334,47.22144999999975,1.0,60,48
14.395499999999856,18.011479166666646,44.471150000000094,1.0,90,48
14.58199999999988,18.57551063829787,41.79869999999982,1.0,30,47
14.590999999999894,20.742547619047574,58.36684999999999,1.0,540,42
14.925000000000182,18.264702127659522,42.699599999999954,1.0,120,47
15.178499999999985,20.70371739130433,53.2277499999999,1.0,300,46
15.242999999999938,18.813787234042564,46.471300000000056,1.0,240,47
15.431999999999789,20.775780487804894,57.63599999999997,1.0,510,41
15.60299999999961,20.33571111111112,55.43300000000035,1.0,360,45
15.824999999999818,18.911911111111092,45.57659999999995,1.0,180,45
15.850000000000364,19.20227906976747,52.734700000000245,1.0,420,43
15.880499999999756,19.723869565217395,47.80799999999988,1.0,210,46
16.08050000000003,20.078977272727272,54.14139999999967,1.0,330,44
16.388000000000375,20.49343902439026,47.5659999999998,1.0,720,41
16.52350000000024,18.63030434782607,41.60624999999993,1.0,150,46
16.725000000000364,21.405384615384637,55.045000000000215,1.0,480,39
16.75299999999993,21.599214285714318,59.2605500000001,1.0,570,42
17.202999999999975,20.999488888888827,54.77219999999967,1.0,390,45
18.13700000000017,20.433707317073218,42.57099999999991,1.0,690,41
18.371999999999844,20.115302325581386,42.55140000000019,1.0,660,43
18.517499999999927,20.538499999999978,56.13299999999991,1.0,450,40
18.531999999999698,22.012365853658515,45.759000000000015,1.0,630,41
20.70699999999988,22.898512195121995,57.17100000000028,1.0,600,41
2753.583,2757.43475,3013.3764,0.1,450,40
2753.78975,2759.737071428571,3011.22355,0.1,540,42
2754.00775,2751.147295454545,2981.7349999999997,0.1,330,44
2765.8185,2762.791658536585,3012.1025,0.1,510,41
2766.1475,2754.242769230769,2985.14635,0.1,480,39
2767.9674999999997,2763.508872093023,3007.25255,0.1,420,43
2768.0275,2755.7524888888893,2982.2619,0.1,360,45
2768.0305,2757.5453888888887,3005.3311000000003,0.1,390,45
2768.2385,2755.059776595745,3002.49885,0.1,30,47
2782.3395,2762.232847826088,3003.245375,0.1,300,46
2784.368,2765.3534499999996,2998.734075,0.1,0,50
2787.15575,2771.934365384616,3003.681925,0.1,-540,52
2794.0695,2771.539231707317,3013.684,0.1,630,41
2794.3905,2768.8966707317068,3015.1485000000002,0.1,600,41
2794.4205,2769.9335,3008.86935,0.1,660,43
2796.6215,2766.9303723404255,3002.8877,0.1,240,47
2797.009,2780.050256097561,3011.4955,0.1,720,41
2797.26,2780.2233170731706,3011.1445000000003,0.1,690,41
2797.2755,2767.0369361702124,3002.60635,0.1,270,47
2797.4555,2770.894067307693,3002.6678,0.1,-150,52
2797.6225000000004,2772.9577142857147,3012.06095,0.1,570,42
2797.75875,2770.5424021739127,3004.0862500000003,0.1,210,46
2798.09725,2770.8272788461536,3002.95165,0.1,-120,52
2798.3095,2780.9904795918364,3005.3732,0.1,-630,49
2798.33275,2776.944027777778,3010.11335,0.1,-510,54
2798.442,2773.8522636363637,3009.7859000000003,0.1,-420,55
2798.4790000000003,2775.8412843137253,3003.8227500000003,0.1,-660,51
2798.4805,2778.0042211538457,3010.865175,0.1,-240,52
2798.5434999999998,2773.726236363636,3010.2108000000003,0.1,-210,55
2798.5434999999998,2773.9223090909095,3010.2952,0.1,-180,55
2798.6035,2776.5288333333333,3010.6196,0.1,-270,54
2798.6485000000002,2766.825010416667,3001.798475,0.1,90,48
2798.743,2773.8784181818187,3010.1453,0.1,-480,55
2798.771,2773.971445454546,3009.7102,0.1,-360,55
2798.908,2772.9573085106385,3002.8222,0.1,120,47
2798.935,2773.857563636364,3009.7268,0.1,-390,55
2798.95,2773.9541454545456,3009.59245,0.1,-330,55
2798.9735,2773.913254545454,3010.4083,0.1,-300,55
2799.122,2773.172288888889,3005.1387,0.1,180,45
2799.1279999999997,2769.3393125000002,3001.684225,0.1,60,48
2799.186,2773.7822272727276,3010.0981500000003,0.1,-450,55
2799.2145,2770.632701923077,3002.4972500000003,0.1,-90,52
2799.2799999999997,2781.7844583333335,3005.65605,0.1,-720,48
2799.4955,2776.0709215686275,3004.43225,0.1,-570,51
2799.521,2787.9655098039216,3004.272,0.1,-600,51
2800.3940000000002,2770.5956826923075,3002.121825,0.1,-30,52
2800.9030000000002,2770.659509615385,3002.8555499999998,0.1,-60,52
2810.8145,2775.6013586956524,3003.94575,0.1,150,46
2811.6267500000004,2784.7767291666664,3005.44815,0.1,-690,48
3029.5837500000002,3033.901745,3312.254025,0.01,450,40
3029.6044250000004,3036.2853428571434,3308.65645,0.01,540,42
3029.626225,3026.937813636364,3279.307535,0.01,330,44
3046.12305,3039.7445975609758,3309.77255,0.01,510,41
3046.15595,3030.3009230769235,3283.122805,0.01,480,39
3046.33795,3040.6700569767445,3306.625985,0.01,420,43
3046.34395,3032.153348888889,3279.0893699999997,0.01,360,45
3046.34425,3034.1350988888894,3303.77227,0.01,390,45
3046.36505,3031.638096808512,3302.642955,0.01,30,47
3057.183825,3061.5484444999997,3342.1417875,0.001,450,40
3057.1858925,3063.94017,3338.39974,0.001,540,42
3057.1880725,3054.5168654545455,3309.0647885000003,0.001,330,44
3062.3218500000003,3039.3028173913044,3302.2329125,0.01,300,46
3062.5247,3042.8922730000004,3299.1818625,0.01,0,50
3062.8034749999997,3049.4360038461537,3305.6807274999996,0.01,-540,52
3074.153505,3067.439891463415,3339.5395550000003,0.001,510,41
3074.156795,3057.906738461538,3312.9204505,0.001,480,39
3074.174995,3068.386175465116,3336.5633285000004,0.001,420,43
3074.175595,3059.793434888889,3308.772117,0.001,360,45
3074.175625,3061.7940698888883,3333.616387,0.001,390,45
3074.177705,3059.2959288297866,3332.6573654999997,0.001,30,47
3078.04155,3049.341869512195,3309.9307000000003,0.01,630,41
3078.0736500000003,3046.5351353658534,3310.07715,0.01,600,41
3078.07665,3047.6143616279073,3307.3928250000004,0.01,660,43
3078.29675,3044.558073404255,3302.68184,0.01,240,47
3078.3355,3058.7546500000003,3309.71185,0.01,720,41
3078.3606,3058.9097658536584,3309.67675,0.01,690,41
3078.36215,3044.568729787234,3302.653705,0.01,270,47
3078.38015,3048.5288105769223,3303.222215,0.01,-150,52
3078.39685,3051.105521428571,3308.74019,0.01,570,42
3078.4104749999997,3048.461668478261,3303.8299,0.01,210,46
3078.4443250000004,3048.5221317307705,3303.2506000000003,0.01,-120,52
3078.46555,3059.4733561224493,3308.1647,0.01,-630,49
3078.4678750000003,3054.8062694444443,3311.406935,0.01,-510,54
3078.4788,3051.429993636363,3311.11229,0.01,-420,55
3078.4825,3053.836981372549,3306.4664249999996,0.01,-660,51
3078.48265,3056.1543701923083,3312.0059175,0.01,-240,52
3078.48895,3051.417390909091,3311.1547800000003,0.01,-210,55
3078.48895,3051.4369981818186,3311.16322,0.01,-180,55
3078.4949500000002,3054.4023500000008,3311.45756,0.01,-270,54
3078.4994500000003,3044.4603760416667,3301.5447125,0.01,90,48
3078.5089000000003,3051.4326090909085,3311.1482300000002,0.01,-480,55
3078.5117,3051.441911818182,3311.10472,0.01,-360,55
3078.5254,3051.2108159574473,3302.67529,0.01,120,47
3078.5281,3051.4305236363634,3311.10638,0.01,-390,55
3078.5296,3051.4401818181823,3311.092945,0.01,-330,55
3078.53195,3051.4360927272733,3311.1745300000002,0.01,-300,55
3078.5468,3051.447988888889,3304.96335,0.01,180,45
3078.5474,3047.3154312499996,3301.5332875000004,0.01,60,48
3078.5532,3051.4229899999996,3311.143515,0.01,-450,55
3078.55605,3048.502674038461,3303.20516,0.01,-90,52
3078.5626,3060.4587333333334,3308.9646,0.01,-720,48
3078.58415,3053.9951745098037,3306.5273749999997,0.01,-570,51
