file,rows,min,max
2025-01-06.csv.gz,221230,2025-01-06 01:00:02.038000+00:00,2025-01-06 23:58:57.931000+00:00
2025-01-07.csv.gz,214320,2025-01-07 01:00:02.031000+00:00,2025-01-07 23:58:58.787000+00:00
2025-01-08.csv.gz,206871,2025-01-08 01:00:02.022000+00:00,2025-01-08 23:58:58.414000+00:00
2025-01-09.csv.gz,168593,2025-01-09 01:00:02.034000+00:00,2025-01-09 23:58:59.204000+00:00
2025-01-10.csv.gz,244710,2025-01-10 01:00:02.024000+00:00,2025-01-10 23:56:56.803000+00:00
2025-01-13.csv.gz,243963,2025-01-13 01:00:02.033000+00:00,2025-01-13 23:58:59.006000+00:00
2025-01-14.csv.gz,224186,2025-01-14 01:00:02.036000+00:00,2025-01-14 23:58:59.046000+00:00
2025-01-15.csv.gz,211251,2025-01-15 01:00:02.035000+00:00,2025-01-15 23:58:59.014000+00:00
2025-01-16.csv.gz,249407,2025-01-16 01:00:02.029000+00:00,2025-01-16 23:58:59.433000+00:00
2025-01-27.csv.gz,181235,2025-01-27 01:00:02.029000+00:00,2025-01-27 23:58:47.207000+00:00
2025-01-28.csv.gz,133374,2025-01-28 01:00:02.030000+00:00,2025-01-28 23:58:52.408000+00:00
2025-01-29.csv.gz,156824,2025-01-29 01:00:02.039000+00:00,2025-01-29 23:58:57.639000+00:00
2025-02-03.csv.gz,204950,2025-02-03 01:00:02.029000+00:00,2025-02-03 23:58:59.607000+00:00
2025-02-04.csv.gz,176626,2025-02-04 01:00:02.029000+00:00,2025-02-04 23:58:58.611000+00:00
2025-02-05.csv.gz,160177,2025-02-05 01:00:02.019000+00:00,2025-02-05 23:58:59.611000+00:00
2025-02-06.csv.gz,152206,2025-02-06 01:00:02.024000+00:00,2025-02-06 23:58:58.607000+00:00
2025-02-07.csv.gz,154299,2025-02-07 01:00:02.033000+00:00,2025-02-07 23:56:59.416000+00:00
2025-02-10.csv.gz,160652,2025-02-10 01:00:02.028000+00:00,2025-02-10 23:58:47.410000+00:00
2025-02-11.csv.gz,195653,2025-02-11 01:00:02.030000+00:00,2025-02-11 23:58:53.208000+00:00
2025-02-12.csv.gz,169157,2025-02-12 01:00:02.024000+00:00,2025-02-12 23:58:58.410000+00:00
2025-02-13.csv.gz,141086,2025-02-13 01:00:02.032000+00:00,2025-02-13 23:58:57.810000+00:00
2025-02-14.csv.gz,163692,2025-02-14 01:00:02.025000+00:00,2025-02-14 23:56:57.208000+00:00
