trades,total_r,expectancy_r,profit_factor,wins,losses,breakevens,win_rate_pct,average_winner_r,average_loser_r,max_drawdown_r,scenario,losses_saved,baseline_winners_reduced,baseline_winners_to_be_or_loss,sample
55,41.93,0.7623636363636364,2.160277777777778,10,36,9,18.181818181818183,7.777000000000001,-1.0,11.880000000000003,Baseline,0,0,0,all_matched
55,10.780000000000001,0.196,1.8261538461538462,3,13,39,5.454545454545454,7.913333333333334,-1.0,10.96,BE@0.5R,23,7,7,all_matched
55,2.8600000000000003,0.052000000000000005,1.1304761904761906,3,21,31,5.454545454545454,7.913333333333334,-1.0,17.88,BE@1R,15,7,7,all_matched
55,37.03,0.6732727272727272,2.3185714285714285,7,28,20,12.727272727272727,9.274285714285714,-1.0,9.96,BE@1.5R,8,3,3,all_matched
55,32.14,0.5843636363636364,1.9706060606060607,8,33,14,14.545454545454545,8.12875,-1.0,10.96,BE@2R,3,2,2,all_matched
55,31.209999999999994,0.5674545454545453,1.9144117647058825,9,34,12,16.363636363636363,7.232222222222223,-1.0,10.880000000000003,BE@3R,2,1,1,all_matched
55,29.239999999999995,0.5316363636363636,1.8080555555555557,9,36,10,16.363636363636363,7.232222222222223,-1.0,11.880000000000003,BE@5R,0,1,1,all_matched
55,34.95,0.6354545454545455,2.0210526315789474,17,36,2,30.909090909090907,4.065882352941177,-0.9500000000000001,9.703999999999999,Partial 20%@2R,0,8,0,all_matched
55,27.118000000000002,0.49305454545454547,1.8208484848484847,20,33,2,36.36363636363637,3.0043999999999995,-1.0,9.368000000000002,Partial 20%@2R + BE,3,8,0,all_matched
55,33.205,0.6037272727272727,1.9829629629629628,17,36,2,30.909090909090907,3.9367647058823527,-0.9375,9.197499999999998,Partial 25%@2R,0,8,0,all_matched
55,25.862499999999997,0.47022727272727266,1.7828030303030302,20,33,2,36.36363636363637,2.9416249999999997,-1.0,8.969999999999999,Partial 25%@2R + BE,3,8,0,all_matched
55,24.479999999999997,0.44509090909090904,1.740909090909091,20,33,2,36.36363636363637,2.8725,-1.0,8.0,Partial 50%@2R,3,8,0,all_matched
55,19.585,0.3560909090909091,1.5925757575757575,20,33,2,36.36363636363637,2.62775,-1.0,8.0,Partial 50%@2R + BE,3,8,0,all_matched
55,36.36200000000001,0.6611272727272729,2.054418604651163,14,36,5,25.454545454545453,5.048,-0.9555555555555555,10.129999999999999,Partial 20%@3R,0,8,0,all_matched
55,27.786,0.5052,1.8145882352941176,16,34,5,29.09090909090909,3.856,-1.0,9.93,Partial 20%@3R + BE,2,8,0,all_matched
55,34.96999999999999,0.6358181818181816,2.0258823529411765,14,34,7,25.454545454545453,4.92,-1.0,9.93,Partial 25%@3R,2,8,0,all_matched
55,26.929999999999993,0.4896363636363635,1.7894117647058823,16,34,5,29.09090909090909,3.8024999999999998,-1.0,9.93,Partial 25%@3R + BE,2,8,0,all_matched
55,28.009999999999998,0.5092727272727272,1.8211764705882354,16,34,5,29.09090909090909,3.87,-1.0,9.93,Partial 50%@3R,2,8,0,all_matched
55,22.65,0.4118181818181818,1.6635294117647057,16,34,5,29.09090909090909,3.5349999999999997,-1.0,9.93,Partial 50%@3R + BE,2,8,0,all_matched
55,36.438,0.6625090909090909,2.007722222222222,12,36,7,21.818181818181817,6.0231666666666674,-1.0,10.93,Partial 20%@5R,0,6,0,all_matched
55,26.286,0.47792727272727276,1.7257222222222224,12,36,7,21.818181818181817,5.177166666666667,-1.0,10.93,Partial 20%@5R + BE,0,6,0,all_matched
55,35.065,0.6375454545454545,1.9695833333333335,12,36,7,21.818181818181817,5.90875,-1.0,10.93,Partial 25%@5R,0,6,0,all_matched
55,25.5475,0.46449999999999997,1.7052083333333334,12,36,7,21.818181818181817,5.1156250000000005,-1.0,10.93,Partial 25%@5R + BE,0,6,0,all_matched
55,28.200000000000003,0.5127272727272728,1.778888888888889,12,36,7,21.818181818181817,5.336666666666667,-1.0,10.93,Partial 50%@5R,0,6,0,all_matched
55,21.855,0.39736363636363636,1.602638888888889,12,36,7,21.818181818181817,4.807916666666666,-1.0,10.93,Partial 50%@5R + BE,0,6,0,all_matched
48,26.549999999999997,0.553125,1.7534285714285713,7,35,6,14.583333333333334,8.767142857142856,-1.0,15.739999999999998,Baseline,0,0,0,high_confidence_le_0.5R
48,0.5300000000000011,0.011041666666666691,1.0408333333333333,2,12,34,4.166666666666666,6.245,-1.0,11.96,BE@0.5R,23,5,5,high_confidence_le_0.5R
48,-7.39,-0.15395833333333334,0.6245,2,20,26,4.166666666666666,6.245,-1.0,19.88,BE@1R,15,5,5,high_confidence_le_0.5R
48,21.699999999999996,0.4520833333333332,1.7992592592592591,5,27,16,10.416666666666668,9.716,-1.0,13.879999999999999,BE@1.5R,8,2,2,high_confidence_le_0.5R
48,16.810000000000002,0.3502083333333334,1.5215625,6,32,10,12.5,8.115,-1.0,14.77,BE@2R,3,1,1,high_confidence_le_0.5R
48,15.83,0.32979166666666665,1.4754545454545454,6,33,9,12.5,8.115,-1.0,14.75,BE@3R,2,1,1,high_confidence_le_0.5R
48,13.860000000000001,0.28875,1.391142857142857,6,35,7,12.5,8.115,-1.0,15.75,BE@5R,0,1,1,high_confidence_le_0.5R
48,20.846000000000004,0.43429166666666674,1.626987951807229,12,35,1,25.0,4.501333333333334,-0.9485714285714286,13.186,Partial 20%@2R,0,6,0,high_confidence_le_0.5R
48,13.054000000000002,0.27195833333333336,1.407,15,32,1,31.25,3.0016000000000003,-1.0,12.810000000000002,Partial 20%@2R + BE,3,6,0,high_confidence_le_0.5R
48,19.419999999999995,0.40458333333333324,1.59206106870229,12,35,1,25.0,4.345,-0.9357142857142857,12.547499999999998,Partial 25%@2R,0,6,0,high_confidence_le_0.5R
48,12.114999999999995,0.2523958333333332,1.37765625,15,32,1,31.25,2.939,-1.0,12.319999999999999,Partial 25%@2R + BE,3,6,0,high_confidence_le_0.5R
48,12.29,0.25604166666666667,1.3831249999999997,15,32,1,31.25,2.950666666666666,-1.0,9.855,Partial 50%@2R,3,6,0,high_confidence_le_0.5R
48,7.419999999999998,0.1545833333333333,1.2309375,15,32,1,31.25,2.626,-1.0,9.870000000000001,Partial 50%@2R + BE,3,6,0,high_confidence_le_0.5R
48,21.860000000000003,0.45541666666666675,1.651497005988024,10,35,3,20.833333333333336,5.516,-0.9542857142857143,13.171999999999997,Partial 20%@3R,0,6,0,high_confidence_le_0.5R
48,13.284000000000004,0.2767500000000001,1.3995151515151518,12,33,3,25.0,3.848666666666668,-1.0,12.979999999999997,Partial 20%@3R + BE,2,6,0,high_confidence_le_0.5R
48,20.6875,0.4309895833333333,1.6238636363636363,10,33,5,20.833333333333336,5.35875,-1.0,12.529999999999998,Partial 25%@3R,2,6,0,high_confidence_le_0.5R
48,12.647499999999997,0.2634895833333333,1.3802272727272726,12,33,3,25.0,3.795625,-1.0,12.537499999999998,Partial 25%@3R + BE,2,6,0,high_confidence_le_0.5R
48,14.825,0.30885416666666665,1.446212121212121,12,33,3,25.0,3.977083333333333,-1.0,10.32,Partial 50%@3R,2,6,0,high_confidence_le_0.5R
48,9.465,0.1971875,1.283787878787879,12,33,3,25.0,3.530416666666667,-1.0,10.325,Partial 50%@3R + BE,2,6,0,high_confidence_le_0.5R
48,21.306000000000004,0.4438750000000001,1.6038857142857141,8,35,5,16.666666666666664,7.0169999999999995,-1.0,14.742,Partial 20%@5R,0,5,0,high_confidence_le_0.5R
48,11.154000000000003,0.23237500000000008,1.3138285714285716,8,35,5,16.666666666666664,5.748,-1.0,14.75,Partial 20%@5R + BE,0,5,0,high_confidence_le_0.5R
48,19.995000000000005,0.4165625000000001,1.5664285714285713,8,35,5,16.666666666666664,6.8531249999999995,-1.0,14.4925,Partial 25%@5R,0,5,0,high_confidence_le_0.5R
48,10.477500000000003,0.21828125000000007,1.2945,8,35,5,16.666666666666664,5.6634375,-1.0,14.5,Partial 25%@5R + BE,0,5,0,high_confidence_le_0.5R
48,13.440000000000001,0.28,1.379142857142857,8,35,5,16.666666666666664,6.0337499999999995,-1.0,13.245000000000001,Partial 50%@5R,0,5,0,high_confidence_le_0.5R
48,7.094999999999999,0.14781249999999999,1.1978571428571427,8,35,5,16.666666666666664,5.240625,-1.0,14.150000000000002,Partial 50%@5R + BE,0,5,0,high_confidence_le_0.5R
